player_name,pitch_type_full
"Criswell, Jeff",['Slider' 'Four-Seam Fastball' 'Changeup' 'Curveball']
"Crochet, Garrett",['Sinker' 'Four-Seam Fastball' 'Cutter' 'Changeup' 'Sweeper']
"Cronin, Declan",['Four-Seam Fastball' 'Slider' 'Sinker' 'Sweeper']
"Crouse, Hans",['Sinker' 'Slider' 'Four-Seam Fastball' 'Changeup']
"Cruz, Fernando",['Splitter' 'Cutter' 'Four-Seam Fastball' 'Sinker' 'Slider']
"Cruz, Steven",['Cutter' 'Four-Seam Fastball' 'Sinker']
"Cuas, Jose",['Four-Seam Fastball' 'Sinker' 'Sweeper' 'Changeup']
"Cueto, Johnny",['Changeup' 'Slider' 'Sinker' 'Four-Seam Fastball' 'Cutter' 'Curveball']
"Curry, Xzavion",['Curveball' 'Four-Seam Fastball' 'Slider' 'Splitter' 'Changeup' 'Sweeper']
"Curtiss, John",['Slider' 'Four-Seam Fastball' 'Changeup']
"Curvelo, Luis",['Slider' 'Four-Seam Fastball']
"Dabovich, R.J.",['Four-Seam Fastball' 'Knuckle Curve']
"Dana, Caden",['Four-Seam Fastball' 'Cutter' 'Slider' 'Changeup' 'Curveball']
"Daniel, Davis",['Slider' 'Splitter' 'Four-Seam Fastball' 'Curveball' 'Changeup']
"Danner, Hagen",['Slider' 'Four-Seam Fastball']
"Darnell, Dugan",['Four-Seam Fastball' 'Splitter' 'Curveball']
"Darvish, Yu","['Splitter' 'Curveball' 'Slider' 'Sinker' 'Sweeper' 'Cutter'
 'Four-Seam Fastball' 'Knuckle Curve']"
"Davidson, Tucker",['Curveball' 'Four-Seam Fastball' 'Splitter' 'Slider' 'Sinker' 'Sweeper']
"Davis, Austin",['Sinker' 'Sweeper' 'Cutter']
"Davis, Noah","['Four-Seam Fastball' 'Curveball' 'Sweeper' 'Screwball' 'Sinker' 'Cutter'
 'Changeup']"
"De Los Santos, Enyel",['Four-Seam Fastball' 'Slider' 'Changeup' 'Sinker']
"De los Santos, Yerry",['Sinker' 'Slider' 'Changeup' 'Four-Seam Fastball']
"Detmers, Reid",['Four-Seam Fastball' 'Curveball' 'Slider' 'Sinker' 'Changeup' nan]
"Devenski, Chris",['Sweeper' 'Changeup' 'Four-Seam Fastball' 'Cutter' 'Sinker' 'Slider']
"Diekman, Jake",['Sweeper' 'Sinker' 'Four-Seam Fastball' 'Changeup']
"Dipoto, Jonah",['Sinker' 'Slider' 'Cutter']
"Dobnak, Randy",['Sinker' 'Four-Seam Fastball' 'Changeup' 'Slider']
"Dodd, Dylan",['Slider' 'Four-Seam Fastball' 'Changeup' 'Cutter']
"Domínguez, Seranthony",['Four-Seam Fastball' 'Sweeper' 'Sinker' 'Slider' 'Changeup']
"Doval, Camilo",['Slider' 'Cutter' 'Sinker' 'Four-Seam Fastball']
"Duarte, Daniel",['Slider' 'Cutter' 'Four-Seam Fastball' 'Changeup' 'Sinker']
"Dubin, Shawn",['Changeup' 'Curveball' 'Four-Seam Fastball' 'Cutter' 'Sweeper' 'Sinker']
"Duffey, Tyler",['Four-Seam Fastball' 'Slider' 'Changeup' 'Knuckle Curve' 'Sinker']
"Duffy, Danny",['Four-Seam Fastball' 'Curveball' 'Sinker' 'Changeup']
"Dunning, Dane","['Slider' 'Sinker' 'Cutter' 'Changeup' 'Knuckle Curve'
 'Four-Seam Fastball' nan]"
"Dunshee, Parker",['Four-Seam Fastball' 'Slider' 'Curveball' 'Sinker']
"Duplantier, Jon",['Slider' 'Four-Seam Fastball']
"Duran, Jhoan",['Splitter' 'Four-Seam Fastball' 'Knuckle Curve' 'Sweeper']
"Díaz, Alexis",['Four-Seam Fastball' 'Slider']
"Díaz, Edwin",['Slider' 'Four-Seam Fastball']
"Díaz, Jhonathan",['Slider' 'Four-Seam Fastball' 'Changeup' 'Curveball' 'Sinker']
"Díaz, Miguel",['Four-Seam Fastball' 'Changeup' 'Slider' 'Sinker']
"Díaz, Yilber",['Knuckle Curve' 'Slider' 'Four-Seam Fastball' 'Sinker']
"Eder, Jake",['Four-Seam Fastball' 'Changeup' 'Slider' 'Curveball']
"Edwards Jr., Carl",['Four-Seam Fastball' 'Curveball' 'Changeup']
"Effross, Scott",['Sinker' 'Sweeper' 'Four-Seam Fastball' 'Changeup']
"Eflin, Zach","['Sweeper' 'Cutter' 'Sinker' 'Curveball' 'Changeup' 'Four-Seam Fastball'
 'Slider']"
"Eisert, Brandon",['Slider' 'Four-Seam Fastball' 'Changeup' 'Curveball']
"Elder, Bryce",['Four-Seam Fastball' 'Slider' 'Changeup' 'Sinker' 'Cutter']
"Ellard, Fraser",['Changeup' 'Four-Seam Fastball' 'Slider' 'Cutter' 'Sinker']
"Emanuel, Kent",['Sinker' 'Changeup' 'Sweeper' 'Slider']
"Englert, Mason",['Changeup' 'Four-Seam Fastball' 'Slider' 'Slurve' 'Sinker' 'Cutter']
"Enlow, Blayne",['Cutter' 'Sweeper' 'Curveball' 'Sinker']
"Enright, Nic",['Four-Seam Fastball' 'Changeup' 'Curveball' 'Slider']
"Eovaldi, Nathan",['Splitter' 'Cutter' 'Four-Seam Fastball' 'Curveball' 'Slider']
"Erceg, Lucas",['Sinker' 'Slider' 'Changeup' 'Four-Seam Fastball']
"Escobar, Edwin",['Four-Seam Fastball' 'Curveball' 'Changeup']
"Espino, Paolo",['Changeup' 'Four-Seam Fastball' 'Curveball' 'Sweeper']
"Estes, Joey",['Slider' 'Four-Seam Fastball' 'Sinker' 'Changeup' 'Sweeper' 'Cutter']
"Estrada, Jeremiah",['Splitter' 'Four-Seam Fastball' 'Slider' 'Sinker']
"Estévez, Carlos",['Four-Seam Fastball' 'Slider' 'Changeup' 'Curveball']
"Faedo, Alex",['Slider' 'Sinker' 'Four-Seam Fastball' 'Changeup']
"Fairbanks, Pete",['Slider' 'Four-Seam Fastball' 'Changeup']
"Falter, Bailey",['Sinker' 'Four-Seam Fastball' 'Slider' 'Curveball' nan 'Splitter']
"Farmer, Buck",['Four-Seam Fastball' 'Changeup' 'Slider' 'Sinker' nan]
"Farmer, Kyle",['Eephus' 'Curveball']
"Faucher, Calvin",['Four-Seam Fastball' 'Cutter' 'Curveball' 'Sweeper']
"Fedde, Erick",['Changeup' 'Sweeper' 'Cutter' 'Sinker' 'Four-Seam Fastball']
"Feigl, Brady",['Four-Seam Fastball' 'Changeup' 'Curveball']
"Feltner, Ryan","['Sweeper' 'Sinker' 'Four-Seam Fastball' 'Changeup' 'Slider' 'Curveball'
 nan]"
"Ferguson, Caleb",['Slurve' 'Sinker' 'Four-Seam Fastball' 'Cutter' 'Sweeper']
"Ferguson, Tyler",['Four-Seam Fastball' 'Sweeper' 'Sinker' 'Cutter' 'Changeup']
"Fernandez, Ryan",['Slider' 'Four-Seam Fastball' 'Cutter' nan 'Sinker']
"Ferrer, Jose A.",['Slider' 'Sinker' 'Changeup' 'Four-Seam Fastball']
"Festa, David",['Slider' 'Changeup' 'Four-Seam Fastball']
"Festa, Matt",['Sweeper' 'Four-Seam Fastball' 'Cutter']
"Feyereisen, J.P.",['Four-Seam Fastball' 'Slider' 'Sinker' 'Changeup']
"Finnegan, Kyle",['Four-Seam Fastball' 'Splitter' 'Slider']
"Fitts, Richard",['Four-Seam Fastball' 'Sweeper' 'Slider' 'Splitter' 'Changeup']
"Fitzgerald, Tyler",[nan 'Eephus']
"Flaherty, Jack",['Slider' 'Four-Seam Fastball' 'Knuckle Curve' 'Sinker' 'Changeup']
"Fleming, Josh",['Changeup' 'Sinker' 'Curveball' 'Cutter']
"Flexen, Chris",['Cutter' 'Slider' 'Curveball' 'Four-Seam Fastball' 'Changeup' 'Sinker']
"Floro, Dylan",['Sinker' 'Slider' 'Changeup' 'Four-Seam Fastball']
"Flowers, J.C.",['Four-Seam Fastball']
"Fluharty, Mason",['Cutter' 'Sweeper']
"Foley, Jason",['Sinker' 'Slider' 'Changeup' 'Four-Seam Fastball']
"Foster, Matt",['Four-Seam Fastball' 'Slider' 'Changeup' 'Curveball']
"France, J.P.",['Four-Seam Fastball' 'Changeup' 'Cutter' 'Curveball' 'Sinker' 'Sweeper']
"Francis, Bowden",['Four-Seam Fastball' 'Slider' 'Curveball' 'Sinker' 'Splitter']
"Francisco, Carlos A.",['Four-Seam Fastball' 'Changeup']
"Fraze, Nick",['Sinker']
"Freeland, Kyle",['Cutter' 'Sinker' 'Four-Seam Fastball' 'Knuckle Curve' 'Changeup']
"Fried, Max","['Curveball' 'Sinker' 'Sweeper' 'Four-Seam Fastball' 'Changeup' 'Cutter'
 'Slider']"
"Frías, Luis",['Sinker' 'Cutter' 'Slider' 'Four-Seam Fastball']
"Fujinami, Shintaro",['Cutter' 'Splitter' 'Four-Seam Fastball']
"Fulmer, Carson",['Changeup' 'Sinker' 'Four-Seam Fastball' 'Slider' 'Curveball' 'Sweeper']
"Funderburk, Kody",['Slider' 'Sinker' 'Cutter' 'Changeup']
"Gaddis, Hunter",['Changeup' 'Slider' 'Four-Seam Fastball' 'Curveball']
